ilce_adi;mahalle_adi;tibbi_ve_aromatik_bitki_yetistiriciligi
Meram;İNLİCE;YOK
Meram;KARAAĞAÇ;YOK
Meram;KAVAK;YOK
Meram;KAYADİBİ;YOK
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;GOJİ BERRY, KEKİK, ADA ÇAYI
Meram;KUMRALI;DAĞ ÇAYI, KEKİK
Meram;SADIKLAR;DAĞ ÇAYI
Meram;SAĞLIK;YOK
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;YOK
Meram;YEŞİLDERE;YOK
Meram;YEŞİLTEKKE;ÇÖREKOTU
Meram;KAŞINHANI;LAVANTA, NANE
Sarayönü;LADİK;ÇÖREKOTU, KİMYON
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAŞHÜYÜK;YOK
Sarayönü;BOYALI;ÇÖREKOTU
Sarayönü;BÜYÜKZENGİ;KEKİK
Sarayönü;ÇEŞMELİSEBİL;ÇÖREKOTU, NANE
Sarayönü;DEĞİRMENLİ;YOK
Sarayönü;ERTUĞRUL;YOK
Sarayönü;GÖZLÜ;NANE, ADA ÇAYI
Sarayönü;KADIOĞLU;YOK
Sarayönü;KARABIYIK;ANASON, KİMYON
Sarayönü;KARATEPE;YOK
Sarayönü;KAYIÖREN;KİMYON
Sarayönü;KONAR;YOK
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;ANASON, KİMYON
Sarayönü;ÖZKENT;YOK
Sarayönü;YENİCEKAYA;YOK
Selçuklu;BAŞARAKAVAK;NANE
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;KEKİK
Selçuklu;AKPINAR;YOK
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;YOK
Selçuklu;ÇALDERE;KİMYON
Selçuklu;ÇALTI;YOK
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;YOK
Selçuklu;EĞRİBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;YOK
Selçuklu;ULUMUHSİNE;ÇÖREKOTU, KEKİK
Selçuklu;YAZIBELEN;YOK
Selçuklu;SİLLE;YOK
Selçuklu;ARDIÇLI;YOK
Selçuklu;AŞAĞIPINARBAŞI;YOK
Selçuklu;YUKARIPINARBAŞI;YOK
Selçuklu;KÜÇÜKMUHSİNE;NANE, KEKİK, ADA ÇAYI
Selçuklu;SARICALAR;DAĞ ÇAYI, KEKİK
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;YOK
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;NANE, KEKİK, ADA ÇAYI
Seydişehir;AKÇALAR;YOK
Seydişehir;AŞAĞIKARAÖREN;HAŞHAŞ, SUSAM
Seydişehir;BAŞKARAÖREN;HAŞHAŞ, SUSAM
Seydişehir;BOSTANDERE;KATRAN, KEKİK, PAPATYA
Seydişehir;BOYALI;HAŞHAŞ
Seydişehir;BÜKÇE;YOK
Seydişehir;ÇAT;YOK
Seydişehir;ÇATMAKAYA;YOK
Seydişehir;ÇAVUŞ;YOK
Seydişehir;DİKİLİTAŞ;YOK
Seydişehir;GEVREKLİ;YOK
Seydişehir;GÖKÇEHÜYÜK;YOK
Seydişehir;GÖKHÜYÜK;YOK
Seydişehir;GÖLYÜZÜ;YOK
Seydişehir;IRMAKLI;YOK
Seydişehir;İNCESU;YOK
Seydişehir;KARABULAK;YOK
Seydişehir;KARACAÖREN;YOK
Seydişehir;KAVAK;YOK
Seydişehir;KETENLİ;YOK
Seydişehir;KIZILCA;YOK
Seydişehir;KOZLU;YOK
Seydişehir;KUMLUCA;YOK
Seydişehir;KURAN;YOK
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;YOK
Seydişehir;MURADİYE;YOK
Seydişehir;OĞLAKÇI;YOK
Seydişehir;ORTAKARAÖREN;YOK
Seydişehir;SARAYCIK;YOK
Seydişehir;SUSUZ;YOK
Seydişehir;TARAŞÇI;YOK
Seydişehir;TAŞAĞIL;YOK
Seydişehir;TEPECİK;YOK
Seydişehir;TOL;SUSAM
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;ELMACIK
Seydişehir;YENİCE;YOK
Taşkent;AFŞAR;KEKİK
Taşkent;BALCILAR;KEKİK, KUŞBURNU, PAPATYA, KIRKKİLİT OTU, ALIÇ
Taşkent;BOLAY;YOK
Taşkent;ÇETMİ;YOK
Taşkent;KECİMEN;YOK
Taşkent;KONGUL;YOK
Taşkent;SAZAK;YOK
Taşkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;NANE, KİMYON
Tuzlukçu;MEVLÜTLÜ;ASPİR, KİMYON
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOĞDU;YOK
Tuzlukçu;KÖKLÜCE;YOK
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;HAŞHAŞ
Yunak;KOÇYAZI;ANASON, ÇÖREKOTU, KİMYON
Yunak;TURGUT;YOK
Yunak;PİRİBEYLİ;ANASON, KİMYON
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;ÇÖREKOTU, REZENE
Yunak;AYRITEPE;ANASON, DAĞ ÇAYI
Yunak;BEŞIŞIKLI;KİMYON
Yunak;CEBRAİL;ANASON
Yunak;ÇAYIRBAŞI;ANASON, ÇÖREKOTU, KİŞNİŞ, KİMYON
Yunak;EĞRİKUYU;HAŞHAŞ
Yunak;HACIÖMEROĞLU;ANASON, ÇÖREKOTU, KİMYON
Yunak;HATIRLI;ANASON, ÇÖREKOTU, KİMYON
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;KİMYON
Yunak;HURSUNLU;DAĞ ÇAYI
Yunak;İMAMOĞLU;ANASON, KİMYON
Yunak;KARGALI;ÇÖREKOTU, KİMYON
Yunak;KARAYAYLA;KİMYON
Yunak;KILLAR;ANASON
Yunak;KURTUŞAĞI;ASPİR, ANASON, DAĞ ÇAYI, KİMYON
Yunak;KUYUBAŞI;ANASON, ÇÖREKOTU, KİŞNİŞ, KİMYON
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;ANASON, ÇÖREKOTU
Yunak;ORTAKIŞLA;KİMYON
Yunak;ÖZYAYLA;ANASON, ÇÖREKOTU
Yunak;SERTLER;KİMYON
Yunak;SEVİNÇ;KEKİK, ADA ÇAYI, KİMYON
Yunak;SIRAM;REZENE, KİMYON
Yunak;SİNANLI;KİMYON
Yunak;YAVAŞLI;ANASON, KİMYON
Yunak;YEŞİLOBA;ANASON, KEKİK, KİMYON
Yunak;YEŞİLYAYLA;ÇÖREKOTU
Yunak;YIĞAR;YOK
Yunak;SARAY;ASPİR
;;
