ilce_adi;mahalle_adi;alternatif_yeni_urun_cesitleri_uretimi
Sarayönü;BOYALI;KİNOA, ANASON, ÇÖREKOTU
Sarayönü;BÜYÜKZENGİ;YOK
Sarayönü;ÇEŞMELİSEBİL;AYÇİÇEĞİ, ASPİR, ÇÖREKOTU
Sarayönü;DEĞİRMENLİ;YOK
Sarayönü;ERTUĞRUL;YOK
Sarayönü;GÖZLÜ;ASPİR
Sarayönü;KADIOĞLU;YOK
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;ASPİR
Sarayönü;KAYIÖREN;YOK
Sarayönü;KONAR;YOK
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;YOK
Sarayönü;ÖZKENT;PATATES, FASULYE, ASPİR
Sarayönü;YENİCEKAYA;YOK
Selçuklu;BAŞARAKAVAK;ŞEKER PANCARI, ÜZÜM
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;ÜZÜM
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;YOK
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;YOK
Selçuklu;ÇALDERE;KİMYON
Selçuklu;ÇALTI;YOK
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;FİĞ
Selçuklu;EĞRİBAYAT;FİĞ
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;ASPİR
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;YOK
Selçuklu;ULUMUHSİNE;YOK
Selçuklu;YAZIBELEN;YOK
Selçuklu;SİLLE;YOK
Selçuklu;ARDIÇLI;YOK
Selçuklu;AŞAĞIPINARBAŞI;ASPİR
Selçuklu;YUKARIPINARBAŞI;KANOLA
Selçuklu;KÜÇÜKMUHSİNE;YOK
Selçuklu;SARICALAR;YOK
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;MERCİMEK
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;YOK
Seydişehir;AKÇALAR;YOK
Seydişehir;AŞAĞIKARAÖREN;YOK
Seydişehir;BAŞKARAÖREN;YOK
Seydişehir;BOSTANDERE;ÇEREZLİK KABAK, SALEP
Seydişehir;BOYALI;ŞEKER PANCARI, HAŞHAŞ, ÇEREZLİK KABAK
Seydişehir;BÜKÇE;YOK
Seydişehir;ÇAT;ÇİLEK
Seydişehir;ÇATMAKAYA;ÇİLEK
Seydişehir;ÇAVUŞ;ÇİLEK
Seydişehir;DİKİLİTAŞ;BÖĞÜRTLEN
Seydişehir;GEVREKLİ;SUSAM
Seydişehir;GÖKÇEHÜYÜK;ÇİLEK, AHUDUDU
Seydişehir;GÖKHÜYÜK;MISIR
Seydişehir;GÖLYÜZÜ;YOK
Seydişehir;IRMAKLI;PATATES
Seydişehir;İNCESU;YOK
Seydişehir;KARABULAK;YOK
Seydişehir;KARACAÖREN;YOK
Seydişehir;KAVAK;YOK
Seydişehir;KETENLİ;YOK
Seydişehir;KIZILCA;CEVİZ, KİRAZ, ÇİLEK
Seydişehir;KOZLU;YOK
Seydişehir;KUMLUCA;YOK
Seydişehir;KURAN;YOK
Seydişehir;MADENLİ;YOK
Seydişehir;MESUDİYE;BÖĞÜRTLEN
Seydişehir;MURADİYE;ÜZÜM, ÇİLEK
Seydişehir;OĞLAKÇI;YOK
Seydişehir;ORTAKARAÖREN;YOK
Seydişehir;SARAYCIK;YOK
Seydişehir;SUSUZ;YOK
Seydişehir;TARAŞÇI;YOK
Seydişehir;TAŞAĞIL;YOK
Seydişehir;TEPECİK;MISIR
Seydişehir;TOL;SUSAM
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;GOJİ BERRY, AHUDUDU, BÖĞÜRTLEN
Seydişehir;YENİCE;ÇİLEK
Taşkent;AFŞAR;ÇİLEK
Taşkent;BALCILAR;YOK
Taşkent;BOLAY;ÇİLEK
Taşkent;ÇETMİ;ÇİLEK
Taşkent;KECİMEN;YOK
Taşkent;KONGUL;YOK
Taşkent;SAZAK;YOK
Taşkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;KİMYON, ASPİR
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;ASPİR
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOĞDU;YOK
Tuzlukçu;KÖKLÜCE;SİLAJLIK MISIR
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;YOK
Yunak;KOÇYAZI;FİĞ
Yunak;TURGUT;ÇİLEK
Yunak;PİRİBEYLİ;ANASON, KİMYON, ASPİR
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;REZENE, ÇÖREKOTU
Yunak;AYRITEPE;YOK
Yunak;BEŞIŞIKLI;KİMYON, ÇÖREKOTU
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;YOK
Yunak;EĞRİKUYU;ŞEKER PANCARI, AYÇİÇEĞİ
Yunak;HACIÖMEROĞLU;YOK
Yunak;HATIRLI;YOK
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;ANASON, TRİTİKALE
Yunak;HURSUNLU;YOK
Yunak;İMAMOĞLU;MISIR
Yunak;KARGALI;KANOLA
Yunak;KARAYAYLA;YOK
Yunak;KILLAR;ANASON
Yunak;KURTUŞAĞI;ANASON, ASPİR
Yunak;KUYUBAŞI;ANASON
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;ANASON, KİMYON, ÇÖREKOTU
Yunak;ORTAKIŞLA;YOK
Yunak;ÖZYAYLA;YOK
Yunak;SERTLER;YOK
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SİNANLI;KİRAZ
Yunak;YAVAŞLI;YOK
Yunak;YEŞİLOBA;YOK
Yunak;YEŞİLYAYLA;YOK
Yunak;YIĞAR;YOK
Yunak;SARAY;KANOLA, ASPİR
;;
