ilce_adi;mahalle_adi;endemik_(sadece_bu_bolgede_yetisen)_bitkiler
Taşkent;ÇETMİ;YOK
Taşkent;KECİMEN;YOK
Taşkent;KONGUL;YOK
Taşkent;SAZAK;YOK
Taşkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;YOK
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOĞDU;YOK
Tuzlukçu;KÖKLÜCE;YOK
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;YOK
Yunak;KOÇYAZI;YOK
Yunak;TURGUT;YOK
Yunak;PİRİBEYLİ;YOK
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;YOK
Yunak;AYRITEPE;YOK
Yunak;BEŞIŞIKLI;ÇATRIK BİTKİSİ
Yunak;CEBRAİL;YOK
Yunak;ÇAYIRBAŞI;YOK
Yunak;EĞRİKUYU;YOK
Yunak;HACIÖMEROĞLU;YOK
Yunak;HATIRLI;YOK
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;YOK
Yunak;HURSUNLU;YOK
Yunak;İMAMOĞLU;YOK
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;YOK
Yunak;KILLAR;YOK
Yunak;KURTUŞAĞI;YOK
Yunak;KUYUBAŞI;YOK
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;YOK
Yunak;ORTAKIŞLA;YOK
Yunak;ÖZYAYLA;YOK
Yunak;SERTLER;YOK
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;YOK
Yunak;SİNANLI;YOK
Yunak;YAVAŞLI;YOK
Yunak;YEŞİLOBA;YOK
Yunak;YEŞİLYAYLA;YOK
Yunak;YIĞAR;YOK
Yunak;SARAY;YOK
;;
