ilce_adi;mahalle_adi;konaklama_yeri
Sarayönü;GÖZLÜ;KÖY ODASI
Sarayönü;KADIOĞLU;KÖY ODASI
Sarayönü;KARABIYIK;KÖY KONAĞI
Sarayönü;KARATEPE;KÖY KONAĞI
Sarayönü;KAYIÖREN;KÖY KONAĞI
Sarayönü;KONAR;YOK
Sarayönü;KURŞUNLU;YOK
Sarayönü;KUYULUSEBİL;YOK
Sarayönü;ÖZKENT;KÖY KONAĞI
Sarayönü;YENİCEKAYA;KÖY KONAĞI
Selçuklu;BAŞARAKAVAK;
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;KÖY KONAĞI
Selçuklu;BAĞRIKURT;YOK
Selçuklu;BİÇER;YOK
Selçuklu;ÇALDERE;YOK
Selçuklu;ÇALTI;KÖY KONAĞI
Selçuklu;ÇANDIR;YOK
Selçuklu;DAĞDERE;YOK
Selçuklu;EĞRİBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;KÖY KONAĞI
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTİN;KÖY ODASI
Selçuklu;SIZMA;KÖY ODASI
Selçuklu;TEPEKENT;KÖY KONAĞI
Selçuklu;ULUMUHSİNE;KÖY KONAĞI
Selçuklu;YAZIBELEN;YOK
Selçuklu;SİLLE;MİSAFİRHANE, KÖY KONAĞI, KÖY ODASI
Selçuklu;ARDIÇLI;KÖY KONAĞI
Selçuklu;AŞAĞIPINARBAŞI;KÖY KONAĞI
Selçuklu;YUKARIPINARBAŞI;YOK
Selçuklu;KÜÇÜKMUHSİNE;KÖY KONAĞI, KÖY ODASI
Selçuklu;SARICALAR;KÖY ODASI
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;MİSAFİRHANE
Selçuklu;Mehmet Fatih;
Seydişehir;KESECİK;MİSAFİRHANE
Seydişehir;AKÇALAR;YOK
Seydişehir;AŞAĞIKARAÖREN;YOK
Seydişehir;BAŞKARAÖREN;YOK
Seydişehir;BOSTANDERE;KÖY ODASI
Seydişehir;BOYALI;YOK
Seydişehir;BÜKÇE;YOK
Seydişehir;ÇAT;YOK
Seydişehir;ÇATMAKAYA;YOK
Seydişehir;ÇAVUŞ;KÖY KONAĞI
Seydişehir;DİKİLİTAŞ;KÖY KONAĞI
Seydişehir;GEVREKLİ;YOK
Seydişehir;GÖKÇEHÜYÜK;YOK
Seydişehir;GÖKHÜYÜK;YOK
Seydişehir;GÖLYÜZÜ;YOK
Seydişehir;IRMAKLI;YOK
Seydişehir;İNCESU;YOK
Seydişehir;KARABULAK;YOK
Seydişehir;KARACAÖREN;YOK
Seydişehir;KAVAK;YOK
Seydişehir;KETENLİ;YOK
Seydişehir;KIZILCA;KÖY KONAĞI
Seydişehir;KOZLU;YOK
Seydişehir;KUMLUCA;YOK
Seydişehir;KURAN;YOK
Seydişehir;MADENLİ;KÖY ODASI
Seydişehir;MESUDİYE;YOK
Seydişehir;MURADİYE;YOK
Seydişehir;OĞLAKÇI;YOK
Seydişehir;ORTAKARAÖREN;YOK
Seydişehir;SARAYCIK;YOK
Seydişehir;SUSUZ;YOK
Seydişehir;TARAŞÇI;YOK
Seydişehir;TAŞAĞIL;YOK
Seydişehir;TEPECİK;YOK
Seydişehir;TOL;YOK
Seydişehir;UFACIK;YOK
Seydişehir;YAYLACIK;YOK
Seydişehir;YENİCE;YOK
Taşkent;AFŞAR;MİSAFİRHANE
Taşkent;BALCILAR;YOK
Taşkent;BOLAY;KÖY ODASI
Taşkent;ÇETMİ;MİSAFİRHANE
Taşkent;KECİMEN;YOK
Taşkent;KONGUL;YOK
Taşkent;SAZAK;YOK
Taşkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;YOK
Tuzlukçu;MEVLÜTLÜ;MİSAFİRHANE
Tuzlukçu;KORAŞI;YOK
Tuzlukçu;ÇÖĞÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;KÖY KONAĞI
Tuzlukçu;PAZARKAYA;KÖY ODASI
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOĞDU;YOK
Tuzlukçu;KÖKLÜCE;MİSAFİRHANE
Yalıhüyük;SARAY;YOK
Yalıhüyük;ARASÖĞÜT;YOK
Yunak;KUZÖREN;YOK
Yunak;KOÇYAZI;KÖY KONAĞI
Yunak;TURGUT;YOK
Yunak;PİRİBEYLİ;YOK
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;KÖY KONAĞI
Yunak;AYRITEPE;KÖY ODASI
Yunak;BEŞIŞIKLI;YOK
Yunak;CEBRAİL;KÖY KONAĞI
Yunak;ÇAYIRBAŞI;KÖY KONAĞI
Yunak;EĞRİKUYU;YOK
Yunak;HACIÖMEROĞLU;MİSAFİRHANE
Yunak;HATIRLI;YOK
Yunak;HACIFAKILI;KÖY KONAĞI
Yunak;HARUNLAR;MİSAFİRHANE
Yunak;HURSUNLU;YOK
Yunak;İMAMOĞLU;KÖY KONAĞI
Yunak;KARGALI;YOK
Yunak;KARAYAYLA;KÖY KONAĞI
Yunak;KILLAR;YOK
Yunak;KURTUŞAĞI;KÖY KONAĞI
Yunak;KUYUBAŞI;MİSAFİRHANE, KÖY KONAĞI
Yunak;MEŞELİK;YOK
Yunak;ODABAŞI;YOK
Yunak;ORTAKIŞLA;KÖY KONAĞI
Yunak;ÖZYAYLA;MİSAFİRHANE
Yunak;SERTLER;KÖY KONAĞI
Yunak;SEVİNÇ;YOK
Yunak;SIRAM;KÖY KONAĞI
Yunak;SİNANLI;YOK
Yunak;YAVAŞLI;KÖY ODASI
Yunak;YEŞİLOBA;MİSAFİRHANE, KÖY ODASI
Yunak;YEŞİLYAYLA;KÖY ODASI
Yunak;YIĞAR;YOK
Yunak;SARAY;YOK
;;
